id                                         , Unit,rws                                        ,normal
KH_000_LMW-H_Scheveningen-g6               ,     ,KH_0.00_LMW-H_Scheveningen-g6              ,Scheveningen
NZ_000_LMW-H_Lichteiland-Goeree            ,     ,NZ_0.00_LMW-H_Lichteiland-Goeree           ,Lichteiland Goeree
NZ_000_LMW-H_Haringvliet-10                ,     ,NZ_0.00_LMW-H_Haringvliet-10               ,Haringvliet 10
NZ_000_LMW-H_Brouwershavense-Gat-8-meet    ,     ,NZ_0.00_LMW-H_Brouwershavense-Gat-8-meet   ,Brouwershavense Gat 08
NZ_000_LMW-H_Brouwershavense-Gat-8-meetpaal,     ,NZ_0.00_LMW-H_Brouwershavense-Gat-8-meet   ,Brouwershavense Gat 08
NW_103019_R_LMW-H_Hoek-van-Holland         ,     ,NW_1030.19_R_LMW-H_Hoek-van-Holland        ,Hoek van Holland
NW_101875_R_LMW-H_Maassluis-g6             ,     ,NW_1018.75_R_LMW-H_Maassluis-g6            ,Maassluis
NW_101341_L_HBR-H_Geulhaven-g6             ,     ,NW_1013.41_L_HBR-H_Geulhaven-g6            ,Geulhaven Radarpost 10
CK_103203_L_HBR-H_Tennesseehaven           ,     ,CK_1032.03_L_HBR-H_Tennesseehaven          ,Tennesseehaven
CK_103203_L_HBR-H_Hartelhaven-g6           ,     ,CK_1032.03_L_HBR-H_Hartelhaven-g6          ,Hartelhaven
CK_103203_L_HBR-H_Europahaven              ,     ,CK_1032.03_L_HBR-H_Europahaven             ,Europahaven
HK_1891_R_HBR-H_Suurhoffbrug               ,     ,HK_18.91_R_HBR-H_Suurhoffbrug              ,Suurhoffbrug
HK_1038_L_HBR-H_Harmsenbrug                ,     ,HK_10.38_L_HBR-H_Harmsenbrug               ,Harmsenbrug
HK_856_L_HBR-H_Rozenburgsesluis            ,     ,HK_8.56_L_HBR-H_Rozenburgsesluis           ,Rozenburgsesluis Hartelkanaal
CK_101782_R_HBR-H_Rozenburgsesluis-g6      ,     ,CK_101.782_R_HBR-H_Rozenburgsesluis-g6     ,Rozenburgsesluis Calandkanaal
HK_127_R_HBR-H_Hartelsluis-g6              ,     ,HK_1.27_R_HBR-H_Hartelsluis-g6             ,Hartelsluis
NM_101091_R_LMW-H_Vlaardingen-g6           ,     ,NM_1010.91_R_LMW-H_Vlaardingen-g6          ,Vlaardingen
NM_100784_L_HBR-H_1e-Eemhaven-g6           ,     ,NM_1007.84_L_HBR-H_1e-Eemhaven-g6          ,1e Eemhaven
NM_100249_R_HBR-H_Parkhaven                ,     ,NM_1002.49_R_HBR-H_Parkhaven               ,Parkhaven
NM_99947_R_LMW-H_Rotterdam-g6              ,     ,NM_999.47_R_LMW-H_Rotterdam-g6             ,Rotterdam
HY_1799_R_LMW-H_Krimpen-ad-IJssel-g6       ,     ,HY_17.99_R_LMW-H_Krimpen-ad-IJssel-g6      ,Krimpen a/d IJssel
HY_086_R_LMW-H_Gouda-brug-g6               ,     ,HY_0.86_R_LMW-H_Gouda-brug-g6              ,Gouda brug
LE_9887_R_LMW-H_Krimpen-aan-de-Lek-g6      ,     ,LE_988.7_R_LMW-H_Krimpen-aan-de-Lek-g6     ,Krimpen a/d Lek
LE_9716_R_LMW-H_Schoonhoven                ,     ,LE_971.6_R_LMW-H_Schoonhoven               ,Schoonhoven
LE_9471_R_LMW-H_Hagestein-beneden          ,     ,LE_947.1_R_LMW-H_Hagestein-beneden         ,Hagestein beneden
OM_100304_L_LMW-H_Spijkenisse              ,     ,OM_1003.04_L_LMW-H_Spijkenisse             ,Spijkenisse
OM_99253_L_LMW-H_Goidschalxoord-g6         ,     ,OM_992.53_L_LMW-H_Goidschalxoord-g6        ,Goidschalxoord
OM_97625_L_LMW-H_Dordrecht-g6              ,     ,OM_976.25_L_LMW-H_Dordrecht-g6             ,Dordrecht
SG_090_L_LMW-H_Werkendam-buiten-g6         ,     ,SG_0.90_L_LMW-H_Werkendam-buiten-g6        ,Werkendam buiten
WL_9518_R_LMW-H_Vuren                      ,     ,WL_951.8_R_LMW-H_Vuren                     ,Vuren
WL_9348_L_LMW-H_Zaltbommel                 ,     ,WL_934.8_L_LMW-H_Zaltbommel                ,Zaltbommel
WL_9133_R_LMW-H_Tiel-Waal                  ,     ,WL_913.3_R_LMW-H_Tiel-Waal                 ,Tiel Waal
HV_102431_R_Hellevoetsluis-g6              ,     ,HV_1024.31_R_Hellevoetsluis-g6             ,Hellevoetsluis
HD_99815_L_LMW-H_Rak-noord                 ,     ,HD_998.15_L_LMW-H_Rak-noord                ,Rak noord
HD_98455_L_LMW-H_Moerdijk-g6               ,     ,HD_984.55_L_LMW-H_Moerdijk-g6              ,Moerdijk
MA_24760_R_LMW-H_Keizersveer               ,     ,MA_247.60_R_LMW-H_Keizersveer              ,Keizersveer
MA_23061_L_LMW-H_Heesbeen                  ,     ,MA_230.61_L_LMW-H_Heesbeen                 ,Heesbeen
MA_20237_L_LMW-H_Lith-dorp                 ,     ,MA_202.37_L_LMW-H_Lith-dorp                ,Lith dorp
MA_20069_L_LMW-H_Lith-boven                ,     ,MA_200.69_L_LMW-H_Lith-boven               ,Lith boven
KH_000_LMW-Cl_Scheveningen-g6              ,     ,KH_0.00_LMW-Cl_Scheveningen-g6             ,Scheveningen
HV_101775_L_LMW-Cl_Middelharnis-meetboe    ,     ,HV_1017.75_L_LMW-Cl_Middelharnis-meetboe   ,Middelharnis
NZ_000_LMW-Cl_Lichteiland-Goeree           ,     ,NZ_0.00_LMW-Cl_Lichteiland-Goeree          ,Lichteiland-Goeree
NZ_000_LMW-Cl_Haringvliet-10               ,     ,NZ_0.00_LMW-Cl_Haringvliet-10              ,Haringvliet-10
NZ_000_LMW-Cl_Brouwershavense-Gat-8-meet   ,     ,NZ_0.00_LMW-Cl_Brouwershavense-Gat-8-meet  ,Brouwershavense-Gat-8-meet
NW_103019_R_LMW-Cl_Hoek-van-Holland        ,     ,NW_1030.19_R_LMW-Cl_Hoek-van-Holland       ,Hoek van Holland
NW_101875_R_LMW-Cl_Maassluis-g6            ,     ,NW_1018.75_R_LMW-Cl_Maassluis-g6           ,Maassluis
NW_101341_L_HBR-Cl_Geulhaven-g6            ,     ,NW_1013.41_L_HBR-Cl_Geulhaven-g6           ,Geulhaven
CK_103203_L_HBR-Cl_Tennesseehaven          ,     ,CK_1032.03_L_HBR-Cl_Tennesseehaven         ,Tennesseehaven
CK_103203_L_HBR-Cl_Hartelhaven-g6          ,     ,CK_1032.03_L_HBR-Cl_Hartelhaven-g6         ,Hartelhaven
